Координати,Вид кофа,Брой,Състояние,
42.7095845057344,23.3727377490272,1100,1,,
42.7007061337174,23.3564030886956,1100,3,,
42.7108472410616,23.3763542973072,1100,1,,
42.705986537348,23.3565163304957,1100,2,,
42.7062979943538,23.3658009175582,1100,1,ДОБРО,
42.7119066330398,23.3767061899093,1100,2,,
42.7070504337548,23.3559174047333,1100,3,,
42.7130641558996,23.3868759612581,1100,2,,
42.7009883840996,23.3454701565244,1100,1,,
42.7054162027325,23.3566938174388,1100,2,,
42.7020791236737,23.3448725142951,1100,1,,
42.7074502184872,23.3713148912099,1100,2,,
42.6999668448805,23.3562412239867,1100,3,,
42.7143651030345,23.3797964667698,1100,2,,
42.7050914353568,23.343319403248,1100,1,,
42.7033609598611,23.3564531267528,1100,4,,
42.7029518594085,23.3567048382334,1100,2,,
42.7134726514279,23.3747392840529,1100,2,,
42.6979939347683,23.360015795519,1100,2,,
42.7026242609668,23.3568751258206,1100,2,,
42.7004691151897,23.3548809491013,1100,2,,
42.7030024214904,23.3535170113506,1100,2,ДОБРО,
42.7070497173351,23.3702302956743,1100,1,,
42.7024607319852,23.35578490654,1100,2,,
42.7036169439409,23.3432025893519,1100,1,,
42.7145834342846,23.3753556876089,1100,2,,
42.7061963036862,23.3557498678892,1100,2,,
42.712762025277,23.3883676373419,1100,2,,
42.6998398244501,23.3453335302831,1100,1,,
42.7051434742029,23.3555541047981,1100,3,,
42.7016236147008,23.3557937040926,1100,3,,
42.7034255982325,23.3440244558406,1100,1,,
42.7127308874681,23.3764909214626,1100,5,,
42.7066539311873,23.3542505392061,1100,2,,
42.714666598724,23.3770058999799,1100,3,,
42.7056947126113,23.353391013469,1100,2,,
42.7124853014945,23.3867172566865,1100,2,,
42.7057868277725,23.3540874743695,1100,3,,
42.7123215298135,23.3876563647477,1100,1,,
42.7064634940119,23.354330840367,1100,2,,
42.7133803135912,23.3879337580201,1100,2,,
42.7009178811412,23.3421535602183,1100,2,,
42.7046424320732,23.3545268489414,1100,2,,
42.7028111079325,23.3450341420722,1100,1,,
